date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:01	68/68	---M--	200	added ('OK')	text/plain	etag:%2244-5cd3532c7ccfd%22	https://www.citystorage.at/robots.txt		(from )
19:54:24	104732/104732	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Mar%202023%2014:54:03%20GMT	https://www.citystorage.at/	C:/Users/Asmat%20khan/Downloads/fiverr-project/www.citystorage.at/index.html	(from )
19:54:25	215/215	---M-Z	200	added ('OK')	text/css	etag:%22d7-5944ef37d7a40-gzip%22	https://www.citystorage.at/wp-content/themes/functn/style.css	C:/Users/Asmat%20khan/Downloads/fiverr-project/www.citystorage.at/wp-content/themes/functn/style.css	(from https://www.citystorage.at/)
19:54:26	795/795	---M--	403	error ('Forbidden')	text/html	etag:%2231b-594650a849024%22	https://www.citystorage.at/xmlrpc.php	C:/Users/Asmat%20khan/Downloads/fiverr-project/www.citystorage.at/xmlrpc.php	(from https://www.citystorage.at/)
19:54:26	7122/7122	---M--	200	added ('OK')	image/png	etag:%225d9b099c-1bd2%22	https://www.citystorage.at/wp-content/themes/functn/assets/images/favicon/apple-touch-icon.png	C:/Users/Asmat%20khan/Downloads/fiverr-project/www.citystorage.at/wp-content/themes/functn/assets/images/favicon/apple-touch-icon.png	(from https://www.citystorage.at/)
19:54:27	1807/1807	---M--	200	added ('OK')	image/png	etag:%225d9b099d-70f%22	https://www.citystorage.at/wp-content/themes/functn/assets/images/favicon/favicon-32x32.png	C:/Users/Asmat%20khan/Downloads/fiverr-project/www.citystorage.at/wp-content/themes/functn/assets/images/favicon/favicon-32x32.png	(from https://www.citystorage.at/)
19:54:27	987/987	---M--	200	added ('OK')	image/png	etag:%223db-5944eef6fe140%22	https://www.citystorage.at/wp-content/themes/functn/assets/images/favicon/favicon-16x16.png	C:/Users/Asmat%20khan/Downloads/fiverr-project/www.citystorage.at/wp-content/themes/functn/assets/images/favicon/favicon-16x16.png	(from https://www.citystorage.at/)
19:54:27	450/450	---M--	200	added ('OK')	text/html	etag:%221c2-5944eef7f2380%22	https://www.citystorage.at/wp-content/themes/functn/assets/images/favicon/site.webmanifest	C:/Users/Asmat%20khan/Downloads/fiverr-project/www.citystorage.at/wp-content/themes/functn/assets/images/favicon/site.html	(from https://www.citystorage.at/)
19:54:28	4396/4396	---M--	200	added ('OK')	image/svg+xml	etag:%225d9b099d-112c%22	https://www.citystorage.at/wp-content/themes/functn/assets/images/favicon/safari-pinned-tab.svg	C:/Users/Asmat%20khan/Downloads/fiverr-project/www.citystorage.at/wp-content/themes/functn/assets/images/favicon/safari-pinned-tab.svg	(from https://www.citystorage.at/)
19:54:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2018%20Mar%202023%2014:54:29%20GMT	http://app.usercentrics.eu/browser-ui/latest/loader.js	C:/Users/Asmat%20khan/Downloads/fiverr-project/app.usercentrics.eu/browser-ui/latest/loader.7.delayed	(from https://www.citystorage.at/)
19:54:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2018%20Mar%202023%2014:54:29%20GMT	http://privacy-proxy.usercentrics.eu/latest/uc-block.bundle.js	C:/Users/Asmat%20khan/Downloads/fiverr-project/privacy-proxy.usercentrics.eu/latest/uc-block.bundle.9.delayed	(from https://www.citystorage.at/)
19:54:29	63012/63012	---M-Z	200	added ('OK')	application/javascript	etag:%22b1ce1d5adc7fb6d7f2f4d1aac3fea8ea%22	https://app.usercentrics.eu:443/browser-ui/latest/loader.js	C:/Users/Asmat%20khan/Downloads/fiverr-project/app.usercentrics.eu_443/browser-ui/latest/loader.js	(from https://www.citystorage.at/)
19:54:30	105271/105271	---MC-	200	added ('OK')	application/javascript	etag:W/%22a2118dae4d6bfa392a20786d365f13ae%22	https://privacy-proxy.usercentrics.eu:443/latest/uc-block.bundle.js	C:/Users/Asmat%20khan/Downloads/fiverr-project/privacy-proxy.usercentrics.eu_443/latest/uc-block.bundle.js	(from https://www.citystorage.at/)
19:54:30	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2018%20Mar%202023%2014:54:31%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Asmat%20khan/Downloads/fiverr-project/www.googletagmanager.com/gtm.b5445.delayed	(from https://www.citystorage.at/)
19:54:31	217/217	---M-Z	200	added ('OK')	text/css	etag:%22d9-5ed6a991bec7a-gzip%22	https://www.citystorage.at/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/Asmat%20khan/Downloads/fiverr-project/www.citystorage.at/wp-includes/css/classic-themes.min68b3.css	(from https://www.citystorage.at/)
19:54:33	89684/89684	---M--	200	added ('OK')	application/javascript	etag:%22637205cd-15e54%22	https://www.citystorage.at/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/Users/Asmat%20khan/Downloads/fiverr-project/www.citystorage.at/wp-includes/js/jquery/jquery.mina7a0.js	(from https://www.citystorage.at/)
19:54:33	11224/11224	---M--	200	added ('OK')	application/javascript	etag:%225fd7721a-2bd8%22	https://www.citystorage.at/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/Asmat%20khan/Downloads/fiverr-project/www.citystorage.at/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.citystorage.at/)
